constructorResultsId,raceId,constructorId,points,status,year
14886,907,131,43.0,\N,2014
14887,907,3,27.0,\N,2014
14888,907,6,11.0,\N,2014
14889,907,10,10.0,\N,2014
14890,907,1,6.0,\N,2014
14891,907,9,4.0,\N,2014
14892,907,208,0.0,\N,2014
14893,907,15,0.0,\N,2014
14894,907,206,0.0,\N,2014
14895,907,207,0.0,\N,2014
14896,907,5,0.0,\N,2014
14897,908,131,25.0,\N,2014
14898,908,3,18.0,\N,2014
14899,908,9,25.0,\N,2014
14900,908,1,18.0,\N,2014
14901,908,6,8.0,\N,2014
14902,908,10,4.0,\N,2014
14903,908,5,3.0,\N,2014
14904,908,208,0.0,\N,2014
14905,908,15,0.0,\N,2014
14906,908,206,0.0,\N,2014
14907,908,207,0.0,\N,2014
14908,909,131,40.0,\N,2014
14909,909,3,18.0,\N,2014
14910,909,9,20.0,\N,2014
14911,909,6,10.0,\N,2014
14912,909,10,7.0,\N,2014
14913,909,1,6.0,\N,2014
14914,909,208,0.0,\N,2014
14915,909,5,0.0,\N,2014
14916,909,15,0.0,\N,2014
14917,909,206,0.0,\N,2014
14918,909,207,0.0,\N,2014
14919,910,9,31.0,\N,2014
14920,910,6,26.0,\N,2014
14921,910,131,27.0,\N,2014
14922,910,3,14.0,\N,2014
14923,910,5,2.0,\N,2014
14924,910,1,1.0,\N,2014
14925,910,15,0.0,\N,2014
14926,910,208,0.0,\N,2014
14927,910,206,0.0,\N,2014
14928,910,207,0.0,\N,2014
14929,910,10,0.0,\N,2014
14930,911,9,35.0,\N,2014
14931,911,131,18.0,\N,2014
14932,911,3,15.0,\N,2014
14933,911,6,18.0,\N,2014
14934,911,1,8.0,\N,2014
14935,911,10,5.0,\N,2014
14936,911,5,2.0,\N,2014
14937,911,15,0.0,\N,2014
14938,911,206,0.0,\N,2014
14939,911,207,0.0,\N,2014
14940,911,208,0.0,\N,2014
14941,912,131,43.0,\N,2014
14942,912,3,27.0,\N,2014
14943,912,9,18.0,\N,2014
14944,912,10,6.0,\N,2014
14945,912,1,5.0,\N,2014
14946,912,6,2.0,\N,2014
14947,912,5,0.0,\N,2014
14948,912,208,0.0,\N,2014
14949,912,15,0.0,\N,2014
14950,912,207,0.0,\N,2014
14951,912,206,0.0,\N,2014
14952,913,131,25.0,\N,2014
14953,913,9,33.0,\N,2014
14954,913,6,16.0,\N,2014
14955,913,3,10.0,\N,2014
14956,913,5,8.0,\N,2014
14957,913,10,8.0,\N,2014
14958,913,1,1.0,\N,2014
14959,913,208,0.0,\N,2014
14960,913,207,0.0,\N,2014
14961,913,206,0.0,\N,2014
14962,913,15,0.0,\N,2014
14963,914,131,43.0,\N,2014
14964,914,9,27.0,\N,2014
14965,914,1,10.0,\N,2014
