constructorStandingsId,raceId,constructorId,points,position,positionText,wins,year
25982,904,206,0.0,10,10,0,2014
25983,904,208,4.0,8,8,0,2014
25984,904,207,0.0,11,11,0,2014
25985,904,9,84.0,2,2,0,2014
25986,905,131,240.0,1,1,6,2014
25987,905,1,52.0,5,5,0,2014
25988,905,6,78.0,3,3,0,2014
25989,905,3,52.0,6,6,0,2014
25990,905,10,67.0,4,4,0,2014
25991,905,5,8.0,8,8,0,2014
25992,905,15,0.0,10,10,0,2014
25993,905,206,2.0,9,9,0,2014
25994,905,208,8.0,7,7,0,2014
25995,905,207,0.0,11,11,0,2014
25996,905,9,99.0,2,2,0,2014
25997,906,131,258.0,1,1,6,2014
25998,906,1,66.0,5,5,0,2014
25999,906,6,87.0,3,3,0,2014
26000,906,3,58.0,6,6,0,2014
26001,906,10,77.0,4,4,0,2014
26002,906,5,12.0,7,7,0,2014
26003,906,15,0.0,10,10,0,2014
26004,906,206,2.0,9,9,0,2014
26005,906,208,8.0,8,8,0,2014
26006,906,207,0.0,11,11,0,2014
26007,906,9,139.0,2,2,1,2014
26008,907,131,301.0,1,1,7,2014
26009,907,1,72.0,6,6,0,2014
26010,907,6,98.0,3,3,0,2014
26011,907,3,85.0,5,5,0,2014
26012,907,10,87.0,4,4,0,2014
26013,907,5,12.0,7,7,0,2014
26014,907,15,0.0,10,10,0,2014
26015,907,206,2.0,9,9,0,2014
26016,907,208,8.0,8,8,0,2014
26017,907,207,0.0,11,11,0,2014
26018,907,9,143.0,2,2,1,2014
26019,908,131,326.0,1,1,8,2014
26020,908,1,90.0,6,6,0,2014
26021,908,6,106.0,3,3,0,2014
26022,908,3,103.0,4,4,0,2014
26023,908,10,91.0,5,5,0,2014
26024,908,5,15.0,7,7,0,2014
26025,908,15,0.0,10,10,0,2014
26026,908,206,2.0,9,9,0,2014
26027,908,208,8.0,8,8,0,2014
26028,908,207,0.0,11,11,0,2014
26029,908,9,168.0,2,2,1,2014
26030,909,131,366.0,1,1,9,2014
26031,909,1,96.0,6,6,0,2014
26032,909,6,116.0,4,4,0,2014
26033,909,3,121.0,3,3,0,2014
26034,909,10,98.0,5,5,0,2014
26035,909,5,15.0,7,7,0,2014
26036,909,15,0.0,10,10,0,2014
26037,909,206,2.0,9,9,0,2014
26038,909,208,8.0,8,8,0,2014
26039,909,207,0.0,11,11,0,2014
26040,909,9,188.0,2,2,1,2014
26041,910,131,393.0,1,1,9,2014
26042,910,1,97.0,6,6,0,2014
26043,910,6,142.0,3,3,0,2014
26044,910,3,135.0,4,4,0,2014
26045,910,10,98.0,5,5,0,2014
26046,910,5,17.0,7,7,0,2014
26047,910,15,0.0,10,10,0,2014
26048,910,206,2.0,9,9,0,2014
26049,910,208,8.0,8,8,0,2014
26050,910,207,0.0,11,11,0,2014
26051,910,9,219.0,2,2,2,2014
26052,911,131,411.0,1,1,9,2014
26053,911,1,105.0,5,5,0,2014
26054,911,6,160.0,3,3,0,2014
26055,911,3,150.0,4,4,0,2014
26056,911,10,103.0,6,6,0,2014
26057,911,5,19.0,7,7,0,2014
26058,911,15,0.0,10,10,0,2014
26059,911,206,2.0,9,9,0,2014
26060,911,208,8.0,8,8,0,2014
26061,911,207,0.0,11,11,0,2014
26062,911,9,254.0,2,2,3,2014
26063,912,131,454.0,1,1,10,2014
26064,912,1,110.0,5,5,0,2014
26065,912,6,162.0,4,4,0,2014
26066,912,3,177.0,3,3,0,2014
26067,912,10,109.0,6,6,0,2014
26068,912,5,19.0,7,7,0,2014
26069,912,15,0.0,10,10,0,2014
26070,912,206,2.0,9,9,0,2014
26071,912,208,8.0,8,8,0,2014
26072,912,207,0.0,11,11,0,2014
26073,912,9,272.0,2,2,3,2014
26074,913,131,479.0,1,1,11,2014
26075,913,1,111.0,6,6,0,2014
26076,913,6,178.0,4,4,0,2014
26077,913,3,187.0,3,3,0,2014
26078,913,10,117.0,5,5,0,2014
26079,913,5,27.0,7,7,0,2014
26080,913,15,0.0,10,10,0,2014
26081,913,206,2.0,9,9,0,2014
26082,913,208,8.0,8,8,0,2014
26083,913,207,0.0,11,11,0,2014
26084,913,9,305.0,2,2,3,2014
26085,914,131,522.0,1,1,12,2014
26086,914,1,121.0,6,6,0,2014
26087,914,6,178.0,4,4,0,2014
26088,914,3,201.0,3,3,0,2014
26089,914,10,122.0,5,5,0,2014
26090,914,5,29.0,7,7,0,2014
26091,914,15,0.0,10,10,0,2014
26092,914,206,2.0,9,9,0,2014
26093,914,208,8.0,8,8,0,2014
26094,914,207,0.0,11,11,0,2014
26095,914,9,332.0,2,2,3,2014
26096,915,131,565.0,1,1,13,2014
26097,915,1,143.0,5,5,0,2014
26098,915,6,188.0,4,4,0,2014
26099,915,3,216.0,3,3,0,2014
26100,915,10,123.0,6,6,0,2014
26101,915,5,29.0,7,7,0,2014
26102,915,15,0.0,10,10,0,2014
26103,915,206,2.0,9,9,0,2014
