resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,year
21811,884,1,131,10,2,12,12,12,0.0,65,\N,\N,53,13,1:27.895,190.659,11,2013
21812,884,16,10,15,13,13,13,13,0.0,65,\N,\N,38,3,1:26.564,193.590,11,2013
21813,884,813,3,16,17,14,14,14,0.0,65,\N,\N,56,12,1:27.849,190.759,11,2013
21814,884,807,15,11,15,15,15,15,0.0,65,\N,\N,58,4,1:26.586,193.541,11,2013
21815,884,822,3,17,16,16,16,16,0.0,65,\N,\N,27,20,1:29.747,186.724,11,2013
21816,884,819,207,20,22,17,17,17,0.0,65,\N,\N,43,19,1:29.362,187.529,11,2013
21817,884,824,206,22,20,18,18,18,0.0,64,\N,\N,55,18,1:28.884,188.537,12,2013
21818,884,820,206,23,21,19,19,19,0.0,64,\N,\N,49,15,1:28.011,190.408,12,2013
21819,884,818,5,18,12,20,20,20,0.0,52,\N,\N,41,17,1:28.231,189.933,3,2013
21820,884,823,207,21,18,21,21,21,0.0,21,\N,\N,11,21,1:30.597,184.973,36,2013
21821,884,154,208,8,6,22,22,22,0.0,8,\N,\N,5,22,1:31.136,183.879,22,2013
21822,885,3,131,9,1,1,1,1,25.0,78,2:17:52.056,8272056,74,6,1:18.327,153.510,1,2013
21823,885,20,9,1,3,2,2,2,18.0,78,+3.888,8275944,77,1,1:16.577,157.018,1,2013
21824,885,17,9,2,4,3,3,3,15.0,78,+6.314,8278370,77,4,1:18.262,153.637,1,2013
21825,885,1,131,10,2,4,4,4,12.0,78,+13.894,8285950,76,3,1:18.133,153.891,1,2013
21826,885,16,10,15,8,5,5,5,10.0,78,+21.477,8293533,74,5,1:18.292,153.578,1,2013
21827,885,18,1,5,9,6,6,6,8.0,78,+23.103,8295159,76,8,1:18.720,152.743,1,2013
21828,885,4,6,3,6,7,7,7,6.0,78,+26.734,8298790,77,12,1:19.340,151.550,1,2013
21829,885,818,5,18,10,8,8,8,4.0,78,+27.223,8299279,77,10,1:19.151,151.912,1,2013
21830,885,814,10,14,17,9,9,9,2.0,78,+27.608,8299664,77,11,1:19.215,151.789,1,2013
21831,885,8,208,7,5,10,10,10,1.0,78,+36.582,8308638,78,2,1:17.392,155.364,1,2013
21832,885,807,15,11,11,11,11,11,0.0,78,+42.572,8314628,29,15,1:19.853,150.576,1,2013
21833,885,822,3,17,14,12,12,12,0.0,78,+42.691,8314747,68,20,1:20.921,148.589,1,2013
21834,885,821,15,12,19,13,13,13,0.0,78,+43.212,8315268,71,7,1:18.685,152.811,1,2013
21835,885,820,206,23,22,14,14,14,0.0,78,+49.885,8321941,78,9,1:19.016,152.171,1,2013
21836,885,823,207,21,15,15,15,15,0.0,78,+1:02.590,8334646,50,17,1:20.494,149.377,1,2013
21837,885,815,1,6,7,16,16,16,0.0,72,\N,\N,27,14,1:19.530,151.188,22,2013
21838,885,154,208,8,13,\N,R,17,0.0,63,\N,\N,57,21,1:20.969,148.501,4,2013
21839,885,817,5,19,12,\N,R,18,0.0,61,\N,\N,26,13,1:19.426,151.386,4,2013
21840,885,824,206,22,20,\N,R,19,0.0,58,\N,\N,49,18,1:20.617,149.149,23,2013
21841,885,813,3,16,16,\N,R,20,0.0,44,\N,\N,8,19,1:20.881,148.662,4,2013
21842,885,13,6,4,21,\N,R,21,0.0,28,\N,\N,28,16,1:20.064,150.179,3,2013
21843,885,819,207,20,18,\N,R,22,0.0,7,\N,\N,4,22,1:22.772,145.266,6,2013
21844,886,20,9,1,1,1,1,1,25.0,70,1:32:09.143,5529143,55,5,1:16.561,205.060,1,2013
21845,886,4,6,3,6,2,2,2,18.0,70,+14.408,5543551,69,2,1:16.203,206.023,1,2013
21846,886,1,131,10,2,3,3,3,15.0,70,+15.942,5545085,69,3,1:16.354,205.615,1,2013
21847,886,17,9,2,5,4,4,4,12.0,70,+25.731,5554874,69,1,1:16.182,206.080,1,2013
21848,886,3,131,9,4,5,5,5,10.0,70,+1:09.725,5598868,70,4,1:16.534,205.132,1,2013
21849,886,818,5,18,7,6,6,6,8.0,69,\N,\N,61,13,1:17.909,201.512,11,2013
21850,886,814,10,14,17,7,7,7,6.0,69,\N,\N,63,12,1:17.841,201.688,11,2013
21851,886,13,6,4,16,8,8,8,4.0,69,\N,\N,69,6,1:16.939,204.052,11,2013
21852,886,8,208,7,10,9,9,9,2.0,69,\N,\N,61,11,1:17.766,201.882,11,2013
